Hora,Temp. predicha (°C),CI 95% (°C)
155,5.13,0.87
156,5.13,0.87
157,5.12,0.87
158,5.12,0.88
159,5.11,0.88
160,5.11,0.88
161,5.10,0.88
162,5.10,0.88
163,5.10,0.89
164,5.09,0.89
165,5.09,0.89
166,5.08,0.89
167,5.08,0.89
168,5.08,0.90
169,5.07,0.90
170,5.07,0.90
171,5.06,0.91
172,5.06,0.90
173,5.05,0.91
174,5.05,0.91
175,5.05,0.92
176,5.04,0.91
177,5.04,0.92
178,5.03,0.92
179,5.03,0.92
180,5.03,0.93
181,5.02,0.93
182,5.02,0.93
183,5.01,0.93
184,5.01,0.94
185,5.00,0.94
186,5.00,0.94
187,5.00,0.94
188,4.99,0.94
189,4.99,0.95
190,4.98,0.95
191,4.98,0.95
192,4.97,0.96
193,4.97,0.96
194,4.97,0.96
195,4.96,0.96
196,4.96,0.96
197,4.95,0.96
198,4.95,0.97
199,4.95,0.97
200,4.94,0.97
201,4.94,0.98
202,4.93,0.98
203,4.93,0.98
204,4.92,0.98
205,4.92,0.99
206,4.92,0.99
207,4.91,0.99
208,4.91,0.99
209,4.90,0.99
210,4.90,0.99
211,4.90,1.00
212,4.89,1.00
213,4.89,1.00
214,4.88,1.01
215,4.88,1.01
216,4.87,1.01
217,4.87,1.01
218,4.87,1.01
219,4.86,1.02
220,4.86,1.02
221,4.85,1.02
222,4.85,1.03
223,4.85,1.03
224,4.84,1.03
225,4.84,1.03
226,4.83,1.03
227,4.83,1.04
228,4.83,1.04
229,4.82,1.04
230,4.82,1.04
231,4.81,1.04
232,4.81,1.05
233,4.81,1.05
234,4.80,1.05
235,4.80,1.06
236,4.80,1.06
237,4.79,1.06
238,4.79,1.06
239,4.78,1.06
240,4.78,1.07
241,4.78,1.07
242,4.77,1.07
243,4.77,1.08
244,4.76,1.08
245,4.76,1.08
246,4.76,1.08
247,4.75,1.09
248,4.75,1.09
249,4.75,1.09
250,4.74,1.09
251,4.74,1.09
252,4.74,1.09
253,4.73,1.10
254,4.73,1.10
255,4.72,1.10
256,4.72,1.11
257,4.72,1.11
258,4.71,1.11
259,4.71,1.11
260,4.71,1.11
261,4.70,1.12
262,4.70,1.12
263,4.70,1.12
264,4.69,1.12
265,4.69,1.13
266,4.69,1.13
267,4.68,1.13
268,4.68,1.13
269,4.68,1.13
270,4.67,1.14
271,4.67,1.14
272,4.67,1.14
273,4.66,1.14
274,4.66,1.15
275,4.66,1.15
276,4.66,1.15
277,4.65,1.15
278,4.65,1.16
279,4.65,1.16
280,4.64,1.16
281,4.64,1.17
282,4.64,1.16
283,4.63,1.17
284,4.63,1.17
285,4.63,1.17
286,4.63,1.18
287,4.62,1.18
288,4.62,1.18
289,4.62,1.18
290,4.62,1.19
291,4.61,1.19
292,4.61,1.19
293,4.61,1.19
294,4.60,1.20
295,4.60,1.19
296,4.60,1.20
297,4.60,1.20
298,4.59,1.21
299,4.59,1.20
300,4.59,1.21
301,4.59,1.21
302,4.58,1.21
303,4.58,1.21
304,4.58,1.22
305,4.58,1.22
306,4.58,1.22
307,4.57,1.22
308,4.57,1.23
309,4.57,1.23
310,4.57,1.23
311,4.56,1.23
312,4.56,1.24
313,4.56,1.24
314,4.56,1.24
315,4.56,1.24
316,4.55,1.25
317,4.55,1.25
318,4.55,1.25
319,4.55,1.25
320,4.55,1.26
321,4.55,1.26
322,4.54,1.26
323,4.54,1.26
324,4.54,1.26
325,4.54,1.26
326,4.54,1.27
327,4.54,1.27
328,4.53,1.28
329,4.53,1.27
330,4.53,1.28
331,4.53,1.28
332,4.53,1.29
333,4.53,1.29
334,4.53,1.29
335,4.52,1.29
336,4.52,1.29
337,4.52,1.29
338,4.52,1.30
339,4.52,1.30
340,4.52,1.30
341,4.52,1.31
342,4.52,1.31
343,4.51,1.31
344,4.51,1.31
345,4.51,1.31
346,4.51,1.31
347,4.51,1.32
348,4.51,1.32
349,4.51,1.33
350,4.51,1.33
351,4.51,1.33
352,4.51,1.33
353,4.51,1.33
354,4.51,1.33
355,4.51,1.34
356,4.50,1.34
357,4.50,1.34
358,4.50,1.34
359,4.50,1.35
360,4.50,1.35
361,4.50,1.35
362,4.50,1.35
363,4.50,1.36
364,4.50,1.36
365,4.50,1.36
366,4.50,1.36
367,4.50,1.37
368,4.50,1.37
369,4.50,1.37
370,4.50,1.37
371,4.50,1.38
372,4.50,1.38
373,4.50,1.38
374,4.50,1.38
375,4.50,1.39
376,4.50,1.39
377,4.50,1.39
378,4.50,1.39
379,4.50,1.40
380,4.50,1.40
381,4.50,1.40
382,4.50,1.40
383,4.50,1.40
384,4.50,1.41
385,4.50,1.41
386,4.50,1.41
387,4.50,1.41
388,4.50,1.42
389,4.51,1.42
390,4.51,1.42
391,4.51,1.42
392,4.51,1.42
393,4.51,1.43
394,4.51,1.43
395,4.51,1.43
396,4.51,1.43
397,4.51,1.43
398,4.51,1.44
399,4.51,1.44
400,4.51,1.45
401,4.51,1.45
402,4.52,1.45
403,4.52,1.45
404,4.52,1.45
405,4.52,1.46
406,4.52,1.46
407,4.52,1.46
408,4.52,1.46
409,4.52,1.46
410,4.53,1.46
411,4.53,1.47
412,4.53,1.47
413,4.53,1.48
414,4.53,1.48
415,4.53,1.48
416,4.53,1.48
417,4.54,1.48
418,4.54,1.48
419,4.54,1.49
420,4.54,1.49
421,4.54,1.49
422,4.54,1.49
423,4.55,1.50
424,4.55,1.50
425,4.55,1.50
426,4.55,1.51
427,4.55,1.51
428,4.55,1.51
429,4.56,1.51
430,4.56,1.51
431,4.56,1.52
432,4.56,1.52
433,4.56,1.52
434,4.57,1.52
435,4.57,1.53
436,4.57,1.53
437,4.57,1.53
438,4.58,1.53
439,4.58,1.54
440,4.58,1.54
441,4.58,1.54
442,4.58,1.54
443,4.59,1.55
444,4.59,1.55
445,4.59,1.55
446,4.59,1.55
447,4.60,1.56
448,4.60,1.56
449,4.60,1.56
450,4.60,1.56
451,4.61,1.56
452,4.61,1.57
453,4.61,1.57
454,4.62,1.57
455,4.62,1.57
456,4.62,1.57
457,4.62,1.57
458,4.63,1.58
459,4.63,1.58
460,4.63,1.59
461,4.63,1.59
462,4.64,1.59
463,4.64,1.59
464,4.64,1.60
465,4.65,1.60
466,4.65,1.60
467,4.65,1.60
468,4.66,1.60
469,4.66,1.60
470,4.66,1.61
471,4.66,1.61
472,4.67,1.61
473,4.67,1.61
474,4.67,1.62
475,4.68,1.62
476,4.68,1.62
477,4.68,1.63
478,4.69,1.62
479,4.69,1.63
480,4.69,1.63
481,4.70,1.63
482,4.70,1.64
483,4.70,1.64
484,4.71,1.64
485,4.71,1.64
486,4.71,1.64
487,4.72,1.65
488,4.72,1.65
489,4.72,1.65
490,4.73,1.65
491,4.73,1.66
492,4.74,1.66
493,4.74,1.66
494,4.74,1.66
495,4.75,1.66
496,4.75,1.67
497,4.75,1.67
498,4.76,1.68
499,4.76,1.68
500,4.76,1.68
501,4.77,1.68
502,4.77,1.68
503,4.78,1.69
504,4.78,1.69
505,4.78,1.69
506,4.79,1.69
507,4.79,1.69
508,4.80,1.70
509,4.80,1.70
510,4.80,1.70
511,4.81,1.71
512,4.81,1.71
513,4.81,1.71
514,4.82,1.71
515,4.82,1.71
516,4.83,1.72
517,4.83,1.72
518,4.83,1.72
519,4.84,1.72
520,4.84,1.73
521,4.85,1.73
522,4.85,1.73
523,4.85,1.74
524,4.86,1.73
525,4.86,1.74
526,4.87,1.74
527,4.87,1.74
528,4.87,1.74
529,4.88,1.75
530,4.88,1.75
531,4.89,1.75
532,4.89,1.76
533,4.90,1.76
534,4.90,1.76
535,4.90,1.76
536,4.91,1.76
537,4.91,1.76
538,4.92,1.77
539,4.92,1.77
540,4.92,1.77
541,4.93,1.77
542,4.93,1.78
543,4.94,1.78
544,4.94,1.78
545,4.95,1.78
546,4.95,1.79
547,4.95,1.79
548,4.96,1.79
549,4.96,1.79
550,4.97,1.80
551,4.97,1.80
552,4.97,1.80
553,4.98,1.80
554,4.98,1.81
555,4.99,1.81
556,4.99,1.81
557,5.00,1.81
558,5.00,1.82
559,5.00,1.82
560,5.01,1.82
561,5.01,1.82
562,5.02,1.82
563,5.02,1.83
564,5.03,1.83
565,5.03,1.83
566,5.03,1.83
567,5.04,1.83
568,5.04,1.84
569,5.05,1.84
570,5.05,1.84
571,5.05,1.85
572,5.06,1.85
573,5.06,1.85
574,5.07,1.85
575,5.07,1.85
576,5.08,1.86
577,5.08,1.86
578,5.08,1.86
579,5.09,1.87
580,5.09,1.87
581,5.10,1.87
582,5.10,1.87
583,5.10,1.87
584,5.11,1.88
585,5.11,1.88
586,5.12,1.88
587,5.12,1.88
588,5.13,1.89
589,5.13,1.89
590,5.13,1.89
591,5.14,1.89
592,5.14,1.89
593,5.15,1.90
594,5.15,1.90
595,5.15,1.90
596,5.16,1.90
597,5.16,1.91
598,5.17,1.91
599,5.17,1.91
600,5.17,1.91
601,5.18,1.92
602,5.18,1.92
603,5.19,1.92
604,5.19,1.93
605,5.19,1.93
606,5.20,1.93
607,5.20,1.93
608,5.20,1.93
609,5.21,1.93
610,5.21,1.94
611,5.22,1.94
612,5.22,1.94
613,5.22,1.94
614,5.23,1.95
615,5.23,1.95
616,5.24,1.95
617,5.24,1.95
618,5.24,1.96
619,5.25,1.96
620,5.25,1.96
621,5.25,1.97
622,5.26,1.97
623,5.26,1.97
624,5.26,1.97
625,5.27,1.97
626,5.27,1.97
627,5.28,1.98
628,5.28,1.98
629,5.28,1.98
630,5.29,1.98
631,5.29,1.99
632,5.29,1.99
633,5.30,1.99
634,5.30,2.00
635,5.30,2.00
636,5.31,2.00
637,5.31,2.00
638,5.31,2.01
639,5.32,2.01
640,5.32,2.01
641,5.32,2.01
642,5.33,2.01
643,5.33,2.02
644,5.33,2.02
645,5.34,2.02
646,5.34,2.02
647,5.34,2.03
648,5.34,2.03
649,5.35,2.03
650,5.35,2.03
651,5.35,2.03
652,5.36,2.03
653,5.36,2.04
654,5.36,2.04
655,5.37,2.04
656,5.37,2.04
657,5.37,2.05
658,5.37,2.05
659,5.38,2.05
660,5.38,2.06
661,5.38,2.06
662,5.38,2.06
663,5.39,2.06
664,5.39,2.06
665,5.39,2.07
666,5.40,2.07
667,5.40,2.07
668,5.40,2.07
669,5.40,2.08
670,5.41,2.08
671,5.41,2.08
672,5.41,2.08
673,5.41,2.09
674,5.42,2.09
675,5.42,2.09
676,5.42,2.09
677,5.42,2.10
678,5.42,2.10
679,5.43,2.10
680,5.43,2.10
681,5.43,2.11
682,5.43,2.10
683,5.44,2.11
684,5.44,2.11
685,5.44,2.11
686,5.44,2.12
687,5.44,2.12
688,5.45,2.12
689,5.45,2.12
690,5.45,2.12
691,5.45,2.13
692,5.45,2.13
693,5.45,2.13
694,5.46,2.14
695,5.46,2.14
696,5.46,2.14
697,5.46,2.14
698,5.46,2.14
699,5.46,2.15
700,5.47,2.15
701,5.47,2.15
702,5.47,2.15
703,5.47,2.16
704,5.47,2.16
705,5.47,2.16
706,5.47,2.16
707,5.48,2.17
708,5.48,2.17
709,5.48,2.17
710,5.48,2.17
711,5.48,2.18
712,5.48,2.18
713,5.48,2.18
714,5.48,2.18
715,5.49,2.19
716,5.49,2.19
717,5.49,2.19
718,5.49,2.19
719,5.49,2.19
720,5.49,2.19
721,5.49,2.20
722,5.49,2.20
723,5.49,2.20
724,5.49,2.20
725,5.49,2.21
726,5.49,2.21
727,5.49,2.21
728,5.50,2.22
729,5.50,2.22
730,5.50,2.22
731,5.50,2.22
732,5.50,2.23
733,5.50,2.23
734,5.50,2.23
735,5.50,2.23
736,5.50,2.24
737,5.50,2.24
738,5.50,2.24
739,5.50,2.24
740,5.50,2.24
741,5.50,2.25
742,5.50,2.25
743,5.50,2.25
744,5.50,2.25
